frequency_GHz,central_europe_winter,tropics_august,central_europe_summer,standard,arctic_winter,arctic_summer,tropics_february
1.655579999999999927e+02,2.619551993067672697e+02,2.835043717323075612e+02,2.741112273454214119e+02,1.779104091439197930e+02,2.096007299236233621e+02,2.611464333002944045e+02,2.867781951449657640e+02
1.655730000000000075e+02,2.619735692160771237e+02,2.834993580560574173e+02,2.741331205767026518e+02,1.779104229932666783e+02,2.096271840256274572e+02,2.611694705745458123e+02,2.867756535901033317e+02
1.655879999999999939e+02,2.619919445212976257e+02,2.834943298584735203e+02,2.741550230906150887e+02,1.779104372191749519e+02,2.096536825791660306e+02,2.611925224573382138e+02,2.867731000262281782e+02
1.656030000000000086e+02,2.620103251861750095e+02,2.834892871094322118e+02,2.741769348490082621e+02,1.779104518209014145e+02,2.096802256878692106e+02,2.612155889285831449e+02,2.867705344237073177e+02
1.656179999999999950e+02,2.620287111731893788e+02,2.834842297760034171e+02,2.741988558183149394e+02,1.779104667975432221e+02,2.097068134516163411e+02,2.612386699762593594e+02,2.867679567594443029e+02
1.656330000000000098e+02,2.620471024464718539e+02,2.834791578310353657e+02,2.742207859584839866e+02,1.779104821498094111e+02,2.097334459879084818e+02,2.612617655818498292e+02,2.867653670056513420e+02
1.656479999999999961e+02,2.620654989688369483e+02,2.834740712344826079e+02,2.742427252346007549e+02,1.779104978751125827e+02,2.097601233880259031e+02,2.612848757215539877e+02,2.867627651343797197e+02
1.656630000000000109e+02,2.620839007017709719e+02,2.834689699645068686e+02,2.742646736088932471e+02,1.779105139756973131e+02,2.097868457645622584e+02,2.613080003870790620e+02,2.867601511229775042e+02
1.656779999999999973e+02,2.621023076088953303e+02,2.834638539844571028e+02,2.742866310420682794e+02,1.779105304502945160e+02,2.098136132343001350e+02,2.613311395581307011e+02,2.867575249395861192e+02
1.656930000000000121e+02,2.621207196508820516e+02,2.834587232619168731e+02,2.743085974983699771e+02,1.779105472980614877e+02,2.098404258845562254e+02,2.613542932099039149e+02,2.867548865631782178e+02
1.657079999999999984e+02,2.621391367904490153e+02,2.834535777696050900e+02,2.743305729376702971e+02,1.779105645193617988e+02,2.098672838362189736e+02,2.613774613344098725e+02,2.867522359640840932e+02
1.657230000000000132e+02,2.621575589870328145e+02,2.834484174729975621e+02,2.743525573209208801e+02,1.779105821124329339e+02,2.098941871875739196e+02,2.614006439028817681e+02,2.867495731159041270e+02
1.657379999999999995e+02,2.621759862042285363e+02,2.834432423382088473e+02,2.743745506107116512e+02,1.779106000779404155e+02,2.099211360554665191e+02,2.614238409006129586e+02,2.867468979926691190e+02
1.657530000000000143e+02,2.621944184020930493e+02,2.834380523405382633e+02,2.743965527652724177e+02,1.779106184162031923e+02,2.099481305350298328e+02,2.614470523116031586e+02,2.867442105661057212e+02
1.657680000000000007e+02,2.622128555395329386e+02,2.834328474401152107e+02,2.744185637455055371e+02,1.779106371254189298e+02,2.099751707398101814e+02,2.614702781091834822e+02,2.867415108118204898e+02
1.657830000000000155e+02,2.622312975776417829e+02,2.834276276132388830e+02,2.744405835123159250e+02,1.779106562058857435e+02,2.100022567786383831e+02,2.614935182768098798e+02,2.867387986999218583e+02
1.657980000000000018e+02,2.622497444775149802e+02,2.834223928244897479e+02,2.744626120237480222e+02,1.779106756577800468e+02,2.100293887566505475e+02,2.615167727934544359e+02,2.867360742062659256e+02
1.658130000000000166e+02,2.622681961974408296e+02,2.834171430370824396e+02,2.744846492387875969e+02,1.779106954789338886e+02,2.100565667825397327e+02,2.615400416414030360e+02,2.867333373017006579e+02
1.658280000000000030e+02,2.622866526955967856e+02,2.834118782260898683e+02,2.745066951173492384e+02,1.779107156715778899e+02,2.100837909723269377e+02,2.615633247979412772e+02,2.867305879605641508e+02
1.658430000000000177e+02,2.623051139344709668e+02,2.834065983551901127e+02,2.745287496153939628e+02,1.779107362331830871e+02,2.101110614227328028e+02,2.615866222416172491e+02,2.867278261556620009e+02
1.658580000000000041e+02,2.623235798685255418e+02,2.834013033914467314e+02,2.745508126938447617e+02,1.779107571638217848e+02,2.101383782473422457e+02,2.616099339503817305e+02,2.867250518606582546e+02
1.658729999999999905e+02,2.623420504598475418e+02,2.833959933064032271e+02,2.745728843094011609e+02,1.779107784642366710e+02,2.101657415675178129e+02,2.616332599029299786e+02,2.867222650451873278e+02
1.658880000000000052e+02,2.623605256633561567e+02,2.833906680656104982e+02,2.745949644174704076e+02,1.779108001331331366e+02,2.101931514778632675e+02,2.616566000826557570e+02,2.867194656864915032e+02
1.659029999999999916e+02,2.623790054384352857e+02,2.833853276392554221e+02,2.746170529768337474e+02,1.779108221696712917e+02,2.102206080884405424e+02,2.616799544585535386e+02,2.867166537538157058e+02
1.659180000000000064e+02,2.623974897428873305e+02,2.833799719907534040e+02,2.746391499425515690e+02,1.779108445746597909e+02,2.102481115179381277e+02,2.617033230141565241e+02,2.867138292209082806e+02
1.659329999999999927e+02,2.624159785316214197e+02,2.833746010890089906e+02,2.746612552728743708e+02,1.779108673468461461e+02,2.102756618712344334e+02,2.617267057238654502e+02,2.867109920595667631e+02
1.659480000000000075e+02,2.624344717641146758e+02,2.833692149001282701e+02,2.746833689209724412e+02,1.779108904857943969e+02,2.103032592640995802e+02,2.617501025654918294e+02,2.867081422443224596e+02
1.659629999999999939e+02,2.624529693950134970e+02,2.833638133951896521e+02,2.747054908433694322e+02,1.779109139928507091e+02,2.103309038040590622e+02,2.617735135178990049e+02,2.867052797471944245e+02
1.659780000000000086e+02,2.624714713820723659e+02,2.833583965414720183e+02,2.747276209952311206e+02,1.779109378656866056e+02,2.103585955981696998e+02,2.617969385531652620e+02,2.867024045379253039e+02
1.659929999999999950e+02,2.624899776797287245e+02,2.833529643017276953e+02,2.747497593309593640e+02,1.779109621041129117e+02,2.103863347580616221e+02,2.618203776500992603e+02,2.866995165920059776e+02
1.660080000000000098e+02,2.625084882434806559e+02,2.833475166488115065e+02,2.747719058044231133e+02,1.779109867087891246e+02,2.104141214124650219e+02,2.618438307805176919e+02,2.866966158818120221e+02
1.660229999999999961e+02,2.625270030289853480e+02,2.833420535418317172e+02,2.747940603699675535e+02,1.779110116788327502e+02,2.104419556514910141e+02,2.618672979305279114e+02,2.866937023788287320e+02
1.660380000000000109e+02,2.625455219909410403e+02,2.833365749558818152e+02,2.748162229811431985e+02,1.779110370130892136e+02,2.104698375960681460e+02,2.618907790612364010e+02,2.866907760540147478e+02
1.660529999999999973e+02,2.625640450840668905e+02,2.833310808558730400e+02,2.748383935900324673e+02,1.779110627131854017e+02,2.104977673631660764e+02,2.619142741594876043e+02,2.866878368809269659e+02
1.660680000000000121e+02,2.625825722626968854e+02,2.833255712029103961e+02,2.748605721490304745e+02,1.779110887762973903e+02,2.105257450598613218e+02,2.619377831861918935e+02,2.866848848313678104e+02
1.660829999999999984e+02,2.626011034799690265e+02,2.833200459743156330e+02,2.748827586130366853e+02,1.779111152037873467e+02,2.105537708034841842e+02,2.619613061283692446e+02,2.866819198783143179e+02
1.660980000000000132e+02,2.626196386903649795e+02,2.833145051269930264e+02,2.749049529296507330e+02,1.779111419952610618e+02,2.105818446982543435e+02,2.619848429551514073e+02,2.866789419924820095e+02
1.661129999999999995e+02,2.626381778466859487e+02,2.833089486336035066e+02,2.749271550531598223e+02,1.779111691496988499e+02,2.106099668674050918e+02,2.620083936406087446e+02,2.866759511470617099e+02
1.661280000000000143e+02,2.626567209016920401e+02,2.833033764567663866e+02,2.749493649353399860e+02,1.779111966662416364e+02,2.106381374255625190e+02,2.620319581520052452e+02,2.866729473136684305e+02
1.661430000000000007e+02,2.626752678068068576e+02,2.832977885673844867e+02,2.749715825234687259e+02,1.779112245464529281e+02,2.106663564833768874e+02,2.620555364705891748e+02,2.866699304633913243e+02
1.661580000000000155e+02,2.626938185167254005e+02,2.832921849295537413e+02,2.749938077717212650e+02,1.779112527881252674e+02,2.106946241492203455e+02,2.620791285650118994e+02,2.866669005697424382e+02
1.661730000000000018e+02,2.627123729953253246e+02,2.832865655051098202e+02,2.750160406446091770e+02,1.779112813910624311e+02,2.107229405633046042e+02,2.621027344286429752e+02,2.866638575984014778e+02
1.661880000000000166e+02,2.627309312863580999e+02,2.832809302346493610e+02,2.750382812063244273e+02,1.779113103562388858e+02,2.107513059804516899e+02,2.621263541469445499e+02,2.866608015118753769e+02
1.662030000000000030e+02,2.627494932337637579e+02,2.832752791120271922e+02,2.750605292748437023e+02,1.779113396822476147e+02,2.107797203605818197e+02,2.621499875557471455e+02,2.866577322957397200e+02
1.662180000000000177e+02,2.627680587900387081e+02,2.832696121124119486e+02,2.750827847963943213e+02,1.779113693684935242e+02,2.108081838064506144e+02,2.621736346274632865e+02,2.866546499221497584e+02
1.662330000000000041e+02,2.627866279054770757e+02,2.832639291944582283e+02,2.751050477218313404e+02,1.779113994157849561e+02,2.108366964478432237e+02,2.621972953294426247e+02,2.866515543636734265e+02
1.662479999999999905e+02,2.628052005297106462e+02,2.832582303218988500e+02,2.751273179965535860e+02,1.779114298226012068e+02,2.108652583936530789e+02,2.622209696430551276e+02,2.866484455890080767e+02
1.662630000000000052e+02,2.628237766114398255e+02,2.832525154680255355e+02,2.751495955692828375e+02,1.779114605895688328e+02,2.108938697546751939e+02,2.622446575297483946e+02,2.866453235711144316e+02
1.662779999999999916e+02,2.628423561017848442e+02,2.832467845917336149e+02,2.751718803864857250e+02,1.779114917150413930e+02,2.109225306578719596e+02,2.622683589563241640e+02,2.866421882830076129e+02
1.662930000000000064e+02,2.628609389492693822e+02,2.832410376661820806e+02,2.751941723933453545e+02,1.779115231999351749e+02,2.109512412219545467e+02,2.622920738990332552e+02,2.866390396948157786e+02
1.663079999999999927e+02,2.628795251028024040e+02,2.832352746535613619e+02,2.752164715374184425e+02,1.779115550430259987e+02,2.109800015480290654e+02,2.623158023275864821e+02,2.866358777780877176e+02
1.663230000000000075e+02,2.628981145102958976e+02,2.832294955172753248e+02,2.752387777644604512e+02,1.779115872444380386e+02,2.110088117759016200e+02,2.623395442017996402e+02,2.866327025036115970e+02
1.663379999999999939e+02,2.629167071195674339e+02,2.832237002294264698e+02,2.752610910181319355e+02,1.779116198039569667e+02,2.110376720013560714e+02,2.623632995044671929e+02,2.866295138424866309e+02
1.663530000000000086e+02,2.629353028789297468e+02,2.832178887489021690e+02,2.752834112441907450e+02,1.779116527205966065e+02,2.110665823581439327e+02,2.623870681907015978e+02,2.866263117677582386e+02
1.663679999999999950e+02,2.629539017351817165e+02,2.832120610476388265e+02,2.753057383863875316e+02,1.779116859943711972e+02,2.110955429501785545e+02,2.624108502368222844e+02,2.866230962486471867e+02
1.663830000000000098e+02,2.629725036350591267e+02,2.832062170832817856e+02,2.753280723895796882e+02,1.779117196250819291e+02,2.111245539108839182e+02,2.624346456040640305e+02,2.866198672560852856e+02
1.663979999999999961e+02,2.629911085260726509e+02,2.832003568266418370e+02,2.753504131958692369e+02,1.779117536125325501e+02,2.111536153507869642e+02,2.624584542606376090e+02,2.866166247639812354e+02
1.664130000000000109e+02,2.630097163535487539e+02,2.831944802414571996e+02,2.753727607485135991e+02,1.779117879564311124e+02,2.111827273857059595e+02,2.624822761764822303e+02,2.866133687387124951e+02
1.664279999999999973e+02,2.630283270631985602e+02,2.831885872961742052e+02,2.753951149909142373e+02,1.779118226548090433e+02,2.112118901428078743e+02,2.625061113182622989e+02,2.866100991566705147e+02
1.664430000000000121e+02,2.630469405996081491e+02,2.831826779536177696e+02,2.754174758626471657e+02,1.779118577091128941e+02,2.112411037303829460e+02,2.625299596499990571e+02,2.866068159849219228e+02
1.664579999999999984e+02,2.630655569098734645e+02,2.831767521793458968e+02,2.754398433070835495e+02,1.779118931189836985e+02,2.112703682922462747e+02,2.625538211355010958e+02,2.866035191950050489e+02
1.664730000000000132e+02,2.630841759376274922e+02,2.831708099363055453e+02,2.754622172660770616e+02,1.779119288830348182e+02,2.112996839224730365e+02,2.625776957400178730e+02,2.866002087571213224e+02
1.664879999999999995e+02,2.631027976267326949e+02,2.831648511919764246e+02,2.754845976791523299e+02,1.779119650018329537e+02,2.113290507494761528e+02,2.626015834349232136e+02,2.865968846444717997e+02
1.665030000000000143e+02,2.631214219208700911e+02,2.831588759089266318e+02,2.755069844857924295e+02,1.779120014745603271e+02,2.113584688914879166e+02,2.626254841751562594e+02,2.865935468271136983e+02
1.665180000000000007e+02,2.631400487646388342e+02,2.831528840568200849e+02,2.755293776263669088e+02,1.779120383011093338e+02,2.113879384831689663e+02,2.626493979339967950e+02,2.865901952737287957e+02
1.665330000000000155e+02,2.631586781016284817e+02,2.831468755934392902e+02,2.755517770406119666e+02,1.779120754805399542e+02,2.114174596259838381e+02,2.626733246714987331e+02,2.865868299565177040e+02
1.665480000000000018e+02,2.631773098731077880e+02,2.831408504925657326e+02,2.755741826676563164e+02,1.779121130136265094e+02,2.114470324510488126e+02,2.626972643475102132e+02,2.865834508460670236e+02
1.665630000000000166e+02,2.631959440215829886e+02,2.831348087091541856e+02,2.755965944435931192e+02,1.779121508986249580e+02,2.114766570924308269e+02,2.627212169294665500e+02,2.865800579119039639e+02
1.665780000000000030e+02,2.632145804887379654e+02,2.831287502137380443e+02,2.756190123082089940e+02,1.779121891358063010e+02,2.115063336421179088e+02,2.627451823786201999e+02,2.865766511241532157e+02
1.665930000000000177e+02,2.632332192177831303e+02,2.831226749719396025e+02,2.756414361986807080e+02,1.779122277260710803e+02,2.115360622483395048e+02,2.627691606520656933e+02,2.865732304561717569e+02
1.666080000000000041e+02,2.632518601496005886e+02,2.831165829448889326e+02,2.756638660506175142e+02,1.779122666670228057e+02,2.115658430202409761e+02,2.627931517239039181e+02,2.865697958747181815e+02
1.666229999999999905e+02,2.632705032233071734e+02,2.831104740978162795e+02,2.756863018018285061e+02,1.779123059597865790e+02,2.115956760895806781e+02,2.628171555443534544e+02,2.865663473541084159e+02
1.666380000000000052e+02,2.632891483800201513e+02,2.831043483926402473e+02,2.757087433867756658e+02,1.779123456029169574e+02,2.116255615787268880e+02,2.628411720838511769e+02,2.865628848594756732e+02
1.666529999999999916e+02,2.633077955610257845e+02,2.830982058014020595e+02,2.757311907425390700e+02,1.779123855972331683e+02,2.116554996023812407e+02,2.628652012921501750e+02,2.865594083661436002e+02
1.666680000000000064e+02,2.633264447037163336e+02,2.830920462817987868e+02,2.757536438022623315e+02,1.779124259418874487e+02,2.116854902876785616e+02,2.628892431364412801e+02,2.865559178409217793e+02
1.666829999999999927e+02,2.633450957495644502e+02,2.830858697978202940e+02,2.757761025020558350e+02,1.779124666359223568e+02,2.117155337597049822e+02,2.629132975743187330e+02,2.865524132547141676e+02
1.666980000000000075e+02,2.633637486359675108e+02,2.830796763180259745e+02,2.757985667749045433e+02,1.779125076795239409e+02,2.117456301415655275e+02,2.629373645641862822e+02,2.865488945795532345e+02
1.667129999999999939e+02,2.633824033020390516e+02,2.830734658024803707e+02,2.758210365533254276e+02,1.779125490727940928e+02,2.117757795603714044e+02,2.629614440733172387e+02,2.865453617830020789e+02
1.667280000000000086e+02,2.634010596849921626e+02,2.830672382139964043e+02,2.758435117712188003e+02,1.779125908144802679e+02,2.118059821365077937e+02,2.629855360487892995e+02,2.865418148353448373e+02
1.667429999999999950e+02,2.634197177221971060e+02,2.830609935260046655e+02,2.758659923626323121e+02,1.779126329051641164e+02,2.118362380001428846e+02,2.630096404575359088e+02,2.865382537083795000e+02
1.667580000000000098e+02,2.634383773523541095e+02,2.830547316885143800e+02,2.758884782556374944e+02,1.779126753438546586e+02,2.118665472696204404e+02,2.630337572524053940e+02,2.865346783696027728e+02
1.667729999999999961e+02,2.634570385110428106e+02,2.830484526738886757e+02,2.759109693845771289e+02,1.779127181304813234e+02,2.118969100840259898e+02,2.630578863914673775e+02,2.865310887907817801e+02
1.667880000000000109e+02,2.634757011336780579e+02,2.830421564489118396e+02,2.759334656790727536e+02,1.779127612646646526e+02,2.119273265520947689e+02,2.630820278313214544e+02,2.865274849398705328e+02
1.668029999999999973e+02,2.634943651584339932e+02,2.830358429635135167e+02,2.759559670701270306e+02,1.779128047457684545e+02,2.119577968024259178e+02,2.631061815299801765e+02,2.865238667877349030e+02
1.668180000000000121e+02,2.635130305196459517e+02,2.830295121957133233e+02,2.759784734875428285e+02,1.779128485735706420e+02,2.119883209722837023e+02,2.631303474469175399e+02,2.865202343055340179e+02
1.668329999999999984e+02,2.635316971513926774e+02,2.830231641014510728e+02,2.760009848603802993e+02,1.779128927484533165e+02,2.120188991819624391e+02,2.631545255303241220e+02,2.865165874620411159e+02
1.668480000000000132e+02,2.635503649892268641e+02,2.830167986501780888e+02,2.760235011163186982e+02,1.779129372697009899e+02,2.120495315536765588e+02,2.631787157422214136e+02,2.865129262242010668e+02
1.668629999999999995e+02,2.635690339681777914e+02,2.830104157948833290e+02,2.760460221850970584e+02,1.779129821364993234e+02,2.120802182188796792e+02,2.632029180345255668e+02,2.865092505655614445e+02
1.668780000000000143e+02,2.635877040206341917e+02,2.830040155077400073e+02,2.760685479941850531e+02,1.779130273487517115e+02,2.121109593137259992e+02,2.632271323580988565e+02,2.865055604528204185e+02
1.668930000000000007e+02,2.636063750812972444e+02,2.829975977517352135e+02,2.760910784690703963e+02,1.779130729069134702e+02,2.121417549491816885e+02,2.632513586722011496e+02,2.865018558568878575e+02
1.669080000000000155e+02,2.636250470815584777e+02,2.829911624870382525e+02,2.761136135395059910e+02,1.779131188091289459e+02,2.121726052616117499e+02,2.632755969281301418e+02,2.864981367453404459e+02
1.669230000000000018e+02,2.636437199552337916e+02,2.829847096725104620e+02,2.761361531308819508e+02,1.779131650561581637e+02,2.122035103860984009e+02,2.632998470826825042e+02,2.864944030899961831e+02
1.669380000000000166e+02,2.636623936336907263e+02,2.829782392770239312e+02,2.761586971660291283e+02,1.779132116474058591e+02,2.122344704319802986e+02,2.633241090828989286e+02,2.864906548602475027e+02
1.669530000000000030e+02,2.636810680485868943e+02,2.829717512692838000e+02,2.761812455725358291e+02,1.779132585828251649e+02,2.122654855411161634e+02,2.633483828843291121e+02,2.864868920226553541e+02
1.669680000000000177e+02,2.636997431301437018e+02,2.829652456006806460e+02,2.762037982731461057e+02,1.779133058610169087e+02,2.122965558464254627e+02,2.633726684372448403e+02,2.864831145479482757e+02
1.669830000000000041e+02,2.637184188113831738e+02,2.829587222387850716e+02,2.762263551936243289e+02,1.779133534832618864e+02,2.123276814664043570e+02,2.633969656940281538e+02,2.864793224069954363e+02
1.669979999999999905e+02,2.637370950212010712e+02,2.829521811464590542e+02,2.762489162571260977e+02,1.779134014482870896e+02,2.123588625473495313e+02,2.634212746062621022e+02,2.864755155661150638e+02
1.670130000000000052e+02,2.637557716891607811e+02,2.829456222868758459e+02,2.762714813853545479e+02,1.779134497546797320e+02,2.123900991927739312e+02,2.634455951195936905e+02,2.864716939968923839e+02
1.670279999999999916e+02,2.637744487450898419e+02,2.829390456209782201e+02,2.762940505010645893e+02,1.779134984050013770e+02,2.124213915615942199e+02,2.634699271930915074e+02,2.864678576665241962e+02
1.670430000000000064e+02,2.637931261181861942e+02,2.829324511102733481e+02,2.763166235257392600e+02,1.779135473965906726e+02,2.124527397632160159e+02,2.634942707663511214e+02,2.864640065449837607e+02
1.670579999999999927e+02,2.638118037366647854e+02,2.829258387210111323e+02,2.763392003808347113e+02,1.779135967294251657e+02,2.124841439327397836e+02,2.635186257930243414e+02,2.864601406010688152e+02
1.670730000000000075e+02,2.638304815282096456e+02,2.829192084173546391e+02,2.763617809854747520e+02,1.779136464040203691e+02,2.125156042007073722e+02,2.635429922256369650e+02,2.864562598040830608e+02
1.670879999999999939e+02,2.638491594216492899e+02,2.829125601547251563e+02,2.763843652624701690e+02,1.779136964196264614e+02,2.125471207039763897e+02,2.635673700033705700e+02,2.864523641207234164e+02
1.671030000000000086e+02,2.638678373415357896e+02,2.829058939025827044e+02,2.764069531296264017e+02,1.779137467751940562e+02,2.125786935768186368e+02,2.635917590785558673e+02,2.864484535238714216e+02
1.671179999999999950e+02,2.638865152171259751e+02,2.828992096170768491e+02,2.764295445048414877e+02,1.779137974710470758e+02,2.126103229406465971e+02,2.636161594017473249e+02,2.864445279778656186e+02
1.671330000000000098e+02,2.639051929737702835e+02,2.828925072635076390e+02,2.764521393086841385e+02,1.779138485075604308e+02,2.126420089336779711e+02,2.636405709129406887e+02,2.864405874565018735e+02
1.671479999999999961e+02,2.639238705364799102e+02,2.828857867997771223e+02,2.764747374565157543e+02,1.779138998833064136e+02,2.126737516802413950e+02,2.636649935630375126e+02,2.864366319225568986e+02
1.671630000000000109e+02,2.639425478317399438e+02,2.828790481926932330e+02,2.764973388667030463e+02,1.779139515979267117e+02,2.127055513223141929e+02,2.636894272963064054e+02,2.864326613489481588e+02
1.671779999999999973e+02,2.639612247835883068e+02,2.828722914033050415e+02,2.765199434552513367e+02,1.779140036518374188e+02,2.127374079914654885e+02,2.637138720559489684e+02,2.864286757025597581e+02
1.671930000000000121e+02,2.639799013161113521e+02,2.828655163936456916e+02,2.765425511384063384e+02,1.779140560444088806e+02,2.127693218132316701e+02,2.637383277920587261e+02,2.864246749541452459e+02
1.672079999999999984e+02,2.639985773544289032e+02,2.828587231273575640e+02,2.765651618306272894e+02,1.779141087756571835e+02,2.128012929266920139e+02,2.637627944435768654e+02,2.864206590679550573e+02
1.672230000000000132e+02,2.640172528195840869e+02,2.828519115600847158e+02,2.765877754492389613e+02,1.779141618439992953e+02,2.128333214596104881e+02,2.637872719538673891e+02,2.864166280167592618e+02
1.672379999999999995e+02,2.640359276372175259e+02,2.828450816565208470e+02,2.766103919054516496e+02,1.779142152508839558e+02,2.128654075607580296e+02,2.638117602699927033e+02,2.864125817673158849e+02
1.672530000000000143e+02,2.640546017283052151e+02,2.828382333769916386e+02,2.766330111133606806e+02,1.779142689951061413e+02,2.128975513514648981e+02,2.638362593349056624e+02,2.864085202872493596e+02
1.672680000000000007e+02,2.640732750141547740e+02,2.828313666904223282e+02,2.766556329873059212e+02,1.779143230759841288e+02,2.129297529739471031e+02,2.638607690882435008e+02,2.864044435454739528e+02
1.672830000000000155e+02,2.640919474172405899e+02,2.828244815493013107e+02,2.766782574376736079e+02,1.779143774937037392e+02,2.129620125500952099e+02,2.638852894702962999e+02,2.864003515137086993e+02
1.672980000000000018e+02,2.641106188578071396e+02,2.828175779204458991e+02,2.767008843773019180e+02,1.779144322484185068e+02,2.129943302243835603e+02,2.639098204275858279e+02,2.863962441526434191e+02
1.673130000000000166e+02,2.641292892578119904e+02,2.828106557620274089e+02,2.767235137169321888e+02,1.779144873382015817e+02,2.130267061331826710e+02,2.639343618973486514e+02,2.863921214367194352e+02
1.673280000000000030e+02,2.641479585356519237e+02,2.828037150353421794e+02,2.767461453674085305e+02,1.779145427642318111e+02,2.130591404040179100e+02,2.639589138206722509e+02,2.863879833308452021e+02
1.673430000000000177e+02,2.641666266118465387e+02,2.827967557016986575e+02,2.767687792375290314e+02,1.779145985260342115e+02,2.130916331801732895e+02,2.639834761305586426e+02,2.863838298078435969e+02
1.673580000000000041e+02,2.641852934036067495e+02,2.827897777254764264e+02,2.767914152373626280e+02,1.779146546223683458e+02,2.131241845960014132e+02,2.640080487784217098e+02,2.863796608294252906e+02
1.673729999999999905e+02,2.642039588315950596e+02,2.827827810622133029e+02,2.768140532758450263e+02,1.779147110537549565e+02,2.131567947798527030e+02,2.640326316958064581e+02,2.863754763676502648e+02
1.673880000000000052e+02,2.642226228134477424e+02,2.827757656826242965e+02,2.768366932589773342e+02,1.779147678193514253e+02,2.131894638819888428e+02,2.640572248208468977e+02,2.863712763894890259e+02
1.674029999999999916e+02,2.642412852655376128e+02,2.827687315333308220e+02,2.768593350967600486e+02,1.779148249197711493e+02,2.132221920368584165e+02,2.640818280937480154e+02,2.863670608635007397e+02
1.674180000000000064e+02,2.642599461050647847e+02,2.827616785871286993e+02,2.768819786933821092e+02,1.779148823537537112e+02,2.132549793705268826e+02,2.641064414492688570e+02,2.863628297568202470e+02
